,Date,TextBlob,Vader,SPX Volume,SPX Price,DJI Volume,DJI Price,NDX Volume,NDX Price
0,2018-02-12,0.00,0.00,4055790000.00,2656.00,496610000.00,24601.27,2240420000.00,6523.85
1,2018-02-13,0.00,0.00,3472870000.00,2662.94,374410000.00,24640.45,1816670000.00,6553.86
2,2018-02-14,0.04,0.06,4003740000.00,2698.63,431160000.00,24893.49,2211460000.00,6675.03
3,2018-02-15,0.02,-0.02,3684910000.00,2731.20,416780000.00,25200.37,2110700000.00,6794.92
4,2018-02-16,0.03,0.01,3637460000.00,2732.22,406730000.00,25219.38,2019830000.00,6770.66
5,2018-02-17,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00
6,2018-02-18,-0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
7,2018-02-19,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,2018-02-20,0.02,0.01,3627610000.00,2716.26,421510000.00,24964.75,1911170000.00,6779.69
9,2018-02-21,-0.00,0.01,3779400000.00,2701.33,456070000.00,24797.78,1946010000.00,6759.26
10,2018-02-22,0.01,0.02,3701270000.00,2703.96,378900000.00,24962.48,1911900000.00,6761.85
11,2018-02-23,0.01,-0.03,3189190000.00,2747.30,335420000.00,25309.99,1879460000.00,6896.60
12,2018-02-24,0.03,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
13,2018-02-25,0.04,-0.02,0.00,0.00,0.00,0.00,0.00,0.00
14,2018-02-26,0.03,0.03,3424650000.00,2779.60,473360000.00,25709.27,1866610000.00,6989.10
15,2018-02-27,0.03,0.02,3745080000.00,2744.28,438390000.00,25410.03,2155850000.00,6900.35
16,2018-02-28,0.00,-0.01,4230660000.00,2713.83,451870000.00,25029.20,2373880000.00,6854.42
17,2018-03-01,0.01,-0.01,4503970000.00,2677.67,506280000.00,24608.98,2489040000.00,6750.54
18,2018-03-02,0.02,-0.08,3882450000.00,2691.25,437130000.00,24538.06,2287320000.00,6811.04
19,2018-03-03,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00
20,2018-03-04,0.02,-0.11,0.00,0.00,0.00,0.00,0.00,0.00
21,2018-03-05,0.06,-0.01,3710810000.00,2720.94,383910000.00,24874.76,2066350000.00,6881.28
22,2018-03-06,0.04,-0.02,3370690000.00,2728.12,331770000.00,24884.12,2112570000.00,6913.02
23,2018-03-07,0.01,-0.05,3393270000.00,2726.80,394070000.00,24801.36,2192230000.00,6929.39
24,2018-03-08,0.02,0.01,3212320000.00,2738.97,327300000.00,24895.21,2272110000.00,6966.43
25,2018-03-09,0.01,0.00,3364100000.00,2786.57,371570000.00,25335.74,2302930000.00,7101.18
26,2018-03-10,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00
27,2018-03-11,0.04,-0.16,0.00,0.00,0.00,0.00,0.00,0.00
28,2018-03-12,0.01,-0.04,3185020000.00,2783.02,362580000.00,25178.61,2294440000.00,7131.12
29,2018-03-13,0.02,-0.05,3301650000.00,2765.31,447880000.00,25007.03,2448830000.00,7046.51
30,2018-03-14,0.03,-0.01,932495395.00,2751.58,153148078.00,24735.41,272162308.00,7035.61
